user_id,name,age,gender,city,income_bracket,product_id,product_name,category,brand,price_paid,rating_given,timestamp
311,Zara Nair,43,Male,Chennai,Lower-Middle,1030,PureGlow Beauty 116,Beauty,PureGlow,163.66,4.8,2024-08-31 01:00:04
746,Saanvi Iyer,28,Female,Kolkata,Upper-Middle,1735,ZenWare Electronic 467,Electronics,ZenWare,46404.22,3.3,2024-08-31 02:27:04
161,Vikram Singh,40,Female,Delhi,Lower-Middle,1542,Nestica Home 319,Home,Nestica,14916.38,3.5,2024-08-31 04:00:04
438,Diya Mukherjee,24,Other,Jaipur,Low,1449,GoodGrain Grocery 319,Grocery,GoodGrain,50.51,4.7,2024-08-31 04:59:04
490,Shreya Mukherjee,29,Female,Jaipur,Middle,1368,PureGlow Beauty 925,Beauty,PureGlow,3948.91,3.7,2024-08-31 06:46:04
320,Kabir Patel,36,Male,Jaipur,Lower-Middle,1448,ZenWare Electronic 763,Electronics,ZenWare,69288.6,4.4,2024-08-31 06:50:04
652,Rohan Mehta,41,Other,Ahmedabad,Upper-Middle,1298,Leaf&Line Book 943,Books,Leaf&Line,202.32,4.4,2024-08-31 06:56:04
878,Ira Singh,38,Female,Kolkata,Lower-Middle,1127,Furnio Home 899,Home,Furnio,12661.51,4.3,2024-08-31 07:31:04
577,Kavya Mehta,34,Other,Ahmedabad,Upper-Middle,1913,KiddiCo Toy 377,Toys,KiddiCo,219.3,5.0,2024-08-31 08:06:04
445,Mira Mehta,26,Female,Chennai,Middle,1142,GearGrid Automotive 890,Automotive,GearGrid,10360.0,3.7,2024-08-31 11:18:04
166,Kavya Mehta,23,Female,Bengaluru,High,1646,PixelPeak Electronic 272,Electronics,PixelPeak,18562.27,5.0,2024-08-31 11:21:04
965,Yash Singh,24,Other,Hyderabad,Lower-Middle,1288,Saffra Fashion 977,Fashion,Saffra,4396.74,4.7,2024-08-31 15:11:04
347,Ira Mehta,29,Other,Mumbai,Middle,1581,Toyverse Toy 285,Toys,Toyverse,1819.51,5.0,2024-08-31 15:33:04
811,Kavya Mehta,18,Male,Chennai,Lower-Middle,1724,Electra Electronic 115,Electronics,Electra,11255.68,5.0,2024-08-31 18:48:04
357,Anaya Das,21,Male,Pune,Upper-Middle,1801,Homely Home 922,Home,Homely,13404.86,4.2,2024-09-01 00:43:04
222,Tarun Mehta,40,Male,Jaipur,Middle,1945,PureGlow Beauty 727,Beauty,PureGlow,3631.15,3.9,2024-09-01 01:14:04
621,Neeraj Sharma,18,Female,Hyderabad,Middle,1500,PeakPro Sport 255,Sports,PeakPro,2831.08,3.6,2024-09-01 01:22:04
710,Aarav Mukherjee,37,Female,Bengaluru,Upper-Middle,1299,GearGrid Automotive 238,Automotive,GearGrid,18100.84,3.8,2024-09-01 03:16:04
194,Saanvi Reddy,37,Female,Delhi,Lower-Middle,1616,DailyFresh Grocery 758,Grocery,DailyFresh,125.49,4.0,2024-09-01 05:03:04
212,Vikram Sharma,37,Other,Hyderabad,Lower-Middle,1326,Lumine Beauty 543,Beauty,Lumine,3184.94,3.5,2024-09-01 06:14:04
277,Tarun Sharma,32,Female,Chennai,Upper-Middle,1212,Naturra Beauty 736,Beauty,Naturra,2202.61,4.3,2024-09-01 06:15:04
518,Kavya Iyer,39,Other,Delhi,Upper-Middle,1799,Pageturn Book 210,Books,Pageturn,199.99,4.5,2024-09-01 06:40:04
419,Neeraj Reddy,27,Male,Jaipur,Upper-Middle,1202,Quillhouse Book 168,Books,Quillhouse,715.62,4.7,2024-09-01 07:41:04
576,Nikhil Nair,33,Other,Chennai,Upper-Middle,1241,PetVibe Pet 341,Pets,PetVibe,6569.57,4.2,2024-09-01 11:24:04
513,Aarav Sharma,20,Other,Pune,Middle,1386,RoadRite Automotive 131,Automotive,RoadRite,18544.48,4.5,2024-09-01 12:38:04
824,Anaya Reddy,26,Male,Bengaluru,Low,1395,RoadRite Automotive 500,Automotive,RoadRite,7703.59,4.3,2024-09-01 13:37:04
240,Shreya Singh,32,Male,Kolkata,Upper-Middle,1611,Auralux Electronic 990,Electronics,Auralux,79084.51,3.8,2024-09-01 16:41:04
262,Diya Mehta,18,Other,Jaipur,Low,1964,CasaCore Home 834,Home,CasaCore,20033.29,4.5,2024-09-01 17:11:04
761,Kabir Iyer,30,Other,Ahmedabad,Middle,1973,StoryArc Book 395,Books,StoryArc,1516.02,3.9,2024-09-01 17:34:04
181,Nikhil Mukherjee,28,Male,Pune,High,1505,GoodGrain Grocery 386,Grocery,GoodGrain,158.59,4.9,2024-09-01 20:39:04
999,Kabir Patel,19,Male,Ahmedabad,Middle,1625,RoadRite Automotive 432,Automotive,RoadRite,6320.45,4.2,2024-09-01 21:37:04
94,Aarav Reddy,30,Male,Delhi,Low,1172,Athletiq Sport 712,Sports,Athletiq,14822.4,2.2,2024-09-01 22:12:04
503,Diya Das,45,Male,Kolkata,Lower-Middle,1215,GoodGrain Grocery 815,Grocery,GoodGrain,313.93,5.0,2024-09-01 22:55:04
948,Nikhil Patel,35,Male,Bengaluru,Lower-Middle,1722,Naturra Beauty 738,Beauty,Naturra,2475.11,2.9,2024-09-02 00:53:04
578,Kabir Reddy,29,Female,Jaipur,Low,1847,Quillhouse Book 278,Books,Quillhouse,1510.17,3.5,2024-09-02 01:43:04
559,Advika Reddy,36,Female,Hyderabad,Low,1566,Bloomly Beauty 987,Beauty,Bloomly,183.18,4.0,2024-09-02 02:02:04
976,Ishan Nair,30,Male,Mumbai,Upper-Middle,1118,Bloomly Beauty 366,Beauty,Bloomly,1241.6,4.5,2024-09-02 03:18:04
785,Kavya Patel,38,Female,Kochi,Upper-Middle,1864,GlowGrid Home 211,Home,GlowGrid,1753.81,3.3,2024-09-02 03:45:04
91,Yash Mukherjee,24,Female,Kochi,Lower-Middle,1261,StoryArc Book 370,Books,StoryArc,1255.31,4.6,2024-09-02 05:55:04
310,Mira Singh,22,Female,Kolkata,Upper-Middle,1628,GlowGrid Home 629,Home,GlowGrid,20351.42,4.0,2024-09-02 08:06:04
488,Riya Iyer,26,Other,Bengaluru,High,1320,Autonix Automotive 473,Automotive,Autonix,23815.14,3.3,2024-09-02 09:01:04
443,Aryan Sharma,22,Other,Ahmedabad,Low,1435,Quillhouse Book 832,Books,Quillhouse,587.84,3.9,2024-09-02 09:51:04
529,Rohan Sharma,30,Female,Chennai,Middle,1738,Whiskerly Pet 975,Pets,Whiskerly,4341.29,5.0,2024-09-02 11:53:04
333,Tarun Singh,38,Other,Chennai,Low,1015,NutriGo Grocery 964,Grocery,NutriGo,482.93,4.9,2024-09-02 11:53:04
960,Zara Mehta,29,Female,Kolkata,Upper-Middle,1550,SwiftFit Sport 314,Sports,SwiftFit,18965.31,4.2,2024-09-02 18:54:04
811,Kavya Mehta,18,Male,Chennai,Lower-Middle,1178,GreenBarn Grocery 662,Grocery,GreenBarn,254.7,3.4,2024-09-02 20:00:04
835,Riya Das,41,Other,Pune,Lower-Middle,1074,Homely Home 627,Home,Homely,13216.18,3.2,2024-09-02 22:44:04
982,Aryan Sharma,28,Female,Bengaluru,Upper-Middle,1297,Flexion Sport 110,Sports,Flexion,17899.02,5.0,2024-09-02 23:53:04
508,Saanvi Mukherjee,41,Male,Bengaluru,Middle,1386,RoadRite Automotive 131,Automotive,RoadRite,17688.36,3.6,2024-09-03 00:45:04
645,Ishan Mukherjee,37,Other,Pune,Upper-Middle,1769,PeakPro Sport 647,Sports,PeakPro,8671.65,3.4,2024-09-03 01:17:04
215,Nikhil Iyer,39,Other,Jaipur,Middle,1215,GoodGrain Grocery 815,Grocery,GoodGrain,255.48,4.9,2024-09-03 01:44:04
935,Tarun Mehta,29,Female,Bengaluru,Middle,1470,Leaf&Line Book 106,Books,Leaf&Line,1441.37,4.8,2024-09-03 04:51:04
45,Neeraj Singh,36,Male,Jaipur,Middle,1823,CasaCore Home 996,Home,CasaCore,1324.57,5.0,2024-09-03 05:13:04
199,Mira Singh,42,Male,Bengaluru,Lower-Middle,1514,PlayPulse Toy 212,Toys,PlayPulse,1916.07,4.4,2024-09-03 06:02:04
400,Riya Sharma,25,Female,Delhi,Lower-Middle,1515,GlowGrid Home 723,Home,GlowGrid,21349.95,4.3,2024-09-03 06:32:04
796,Mira Nair,18,Female,Mumbai,Upper-Middle,1130,Electra Electronic 552,Electronics,Electra,66135.87,3.6,2024-09-03 06:33:04
606,Ira Nair,39,Male,Ahmedabad,Middle,1760,FurEver Pet 110,Pets,FurEver,2992.25,4.2,2024-09-03 09:14:04
44,Zara Iyer,24,Female,Pune,Middle,1734,Saffra Fashion 384,Fashion,Saffra,2852.36,4.7,2024-09-03 11:07:04
627,Mira Singh,26,Male,Hyderabad,Lower-Middle,1658,Leaf&Line Book 837,Books,Leaf&Line,948.77,4.7,2024-09-03 12:20:04
274,Mira Das,40,Other,Pune,Lower-Middle,1802,BluePine Fashion 974,Fashion,BluePine,2558.16,4.2,2024-09-03 12:29:04
572,Nikhil Patel,37,Other,Kolkata,Low,1716,Bloomly Beauty 795,Beauty,Bloomly,1116.34,4.7,2024-09-03 12:55:04
72,Riya Iyer,18,Other,Hyderabad,Lower-Middle,1141,Whiskerly Pet 285,Pets,Whiskerly,9509.78,3.7,2024-09-03 15:01:04
818,Yash Singh,25,Other,Bengaluru,Low,1705,GreenBarn Grocery 519,Grocery,GreenBarn,190.86,4.2,2024-09-03 16:45:04
572,Nikhil Patel,37,Other,Kolkata,Low,1843,ModeX Fashion 121,Fashion,ModeX,1602.89,4.0,2024-09-03 16:55:04
